"","Pop","Latitude","Longitude","Distance","MAT","MSP","CMD","RH","MAT_Distance","MSP_Distance","CMD_Distance","RH_Distance","Fruit_no_damage","Seeds","Flowering_Date","Leaf_Toughness","Water_Content","Growth_Rate","Bolt_Date","SLA","Num_Trichomes","Leaf_Herb_Sept","bug","Hight","S.florida","M.brevivatella","Tissue","Leaf_Totphe","Leaf_pH_10","Flower_Totphe","Flower_pH_10","Fruit_Totphe","Fruit_pH_10","Leaf_Oenothein_B","Leaf_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A"
"1",22,43.648016,-79.356773,46.87,7.8,361,226,67,-0.100000000000001,-95,105,-2,218.666666666667,42003,232.666666666667,113.333333333333,73.9597345266667,0.108635956,130.333333333333,50.6525578933333,84.3333333333333,1.53333333333333,8.33333333333333,144.333333333333,0.333333333333333,0,"Leaf",92.27737344,21.07984621,62.84858081,11.27111195,138.0367347,37.81244587,12.47718267,23.87700175,5.606325552,12.73064492,5.649726935,84.0540691
"2",23,43.632911,-79.325592,47.25,7.9,361,229,67,0,-95,108,-2,155.6,27122.2,184.4,138,72.299828522,0.0963541946,132.4,47.923906316,128.2,1.42,7.4,132,6.8,0,"Leaf",93.34327626,21.00056537,55.06279826,10.44899919,119.0435707,27.33969424,17.56978005,27.93956423,12.88133936,11.6873631,10.27878462,40.77050528
"3",181,40.1337,-86.15892,691,10.1,482,207,61,2.2,26,86,-8,0,0,NA,100,NA,0.087371251,157,NA,NA,0.7,0,NA,NA,NA,"Leaf",74.78646307,16.89065064,NA,NA,NA,NA,2.301454082,22.17842776,NA,NA,NA,NA
"4",182,40.1337,-86.15892,691,10.1,482,207,61,2.2,26,86,-8,42,8022,230,140,69.68421053,0.084509804,136,69.62749668,55,1,0,93,0,0,"Leaf",101.8303955,21.20219433,102.8728095,24.74190983,170.9560443,31.65886989,4.109732895,28.67838428,25.72183302,39.50486097,20.72091847,117.1954809
"5",183,40.1337,-86.15892,691,10.1,482,207,61,2.2,26,86,-8,45.7066666666667,8425,206,91.6666666666667,74.57982591,0.0834232503333333,131,48.88057035,164.666666666667,2.8,9.33333333333333,74.5,0,5.33333333333333,"Leaf",83.8781529,25.00896919,44.04424322,10.37335731,111.7682366,33.79756065,62.54475815,7.022122905,27.21929341,6.882211538,64.75974234,12.35840122
"6",6,42.470627,-76.523911,300,8.9,417,224,62,1,-39,103,-7,0,0,NA,95,79.23943625,0.100343332,NA,69.18854235,268,7.8255555556,1.8,16,NA,NA,"Leaf",78.53313791,21.6046973,NA,NA,NA,NA,49.23032653,4.657332915,NA,NA,NA,NA
"7",8,42.470627,-76.523911,300,8.9,417,224,62,1,-39,103,-7,33.844,2759.8,193.75,116,74.049397886,0.10752250175,130.75,50.94896722,122.6,2.72,10,48.5,5,7,"Leaf",80.58737653,19.06262281,50.31557288,13.18046621,88.11688486,19.14854843,62.52368116,5.280348278,31.70271904,4.492868008,40.24907122,4.413968293
"8",9,42.470627,-76.523911,300,8.9,417,224,62,1,-39,103,-7,87.735,22377,207.75,121.25,74.3109609125,0.095052136,134.75,60.30165455,55.5,3.3,6.33333333333333,89.3333333333333,16,4.25,"Leaf",82.8160732,23.56557315,38.65979638,8.063595156,106.5181394,31.69925598,70.12406911,6.526646158,20.27139564,2.803412281,49.01163778,13.16054629
"9",378,42.470627,-76.523911,300,8.9,417,224,62,1,-39,103,-7,38.404,6756.6,212.333333333333,125,72.719083515,0.101944209,136,42.31014253,111,2.375,9.6,86,13.3333333333333,3.66666666666667,"Leaf",113.1118389,33.61885403,52.52740203,13.37818308,NA,NA,92.3631605,8.368505903,27.87264967,5.571797954,NA,NA
"10",379,31.744657,-88.18325,1559,18.1,578,342,58,10.2,122,221,-11,20,2010.5,251.5,157.5,72.427590415,0.1166872525,131,47.302502635,128.5,2.5,12.5,155,0,0,"Leaf",81.58947518,16.24734817,104.0576639,25.83270224,NA,NA,1.080531191,23.6769649,18.92731097,49.9731216,NA,NA
"11",411,42.463813,-76.528893,300,8,439,169,64,0.0999999999999996,-17,48,-5,34.64,8121,210,130,73.68938401,0.074036269,141,51.77311552,60,0.4,10,107,26,2,"Leaf",80.76700715,25.04256561,54.85472659,14.5577366,115.6448967,28.59581617,63.5911592,5.856356084,37.74356652,10.43067584,85.59367726,17.55634162
"12",442,43.594882,-79.515846,48,7.8,362,222,67,-0.100000000000001,-94,101,-2,61.455,10120,213.5,111.25,73.5359474675,0.0951544995,134.5,52.130897245,117.75,5.7875,1.75,56,0,0.5,"Leaf",79.66284412,17.45849254,70.86276101,13.24581789,139.4109454,39.98833298,9.393115758,19.87963795,10.23207175,22.92702532,11.20790853,77.05334932
