Pop,Tissue,Leaf_Totphe=,Leaf_pH_10,Flower_Totphe,Flower_pH_10,Fruit_Totphe,Fruit_pH_10
6,Leaf,78.53313791,21.6046973,,,,
8,Leaf,80.58737653,19.06262281,88.11688486,19.14854843,50.31557288,13.18046621
9,Leaf,82.8160732,23.56557315,106.5181394,31.69925598,38.65979638,8.063595156
22,Leaf,92.27737344,21.07984621,138.0367347,37.81244587,62.84858081,11.27111195
23,Leaf,93.34327626,21.00056537,119.0435707,27.33969424,55.06279826,10.44899919
181,Leaf,74.78646307,16.89065064,,,,
182,Leaf,101.8303955,21.20219433,170.9560443,31.65886989,102.8728095,24.74190983
183,Leaf,83.8781529,25.00896919,111.7682366,33.79756065,44.04424322,10.37335731
378,Leaf,113.1118389,33.61885403,,,52.52740203,13.37818308
379,Leaf,81.58947518,16.24734817,,,104.0576639,25.83270224
411,Leaf,80.76700715,25.04256561,115.6448967,28.59581617,54.85472659,14.5577366
442,Leaf,79.66284412,17.45849254,139.4109454,39.98833298,70.86276101,13.24581789
447,Leaf,91.38741843,16.9874809,,,65.44396847,12.68215553
465,Leaf,75.42586785,17.5933072,136.8183863,39.32415327,66.00978812,11.94416235
501,Leaf,84.55247989,17.68120873,166.8401926,43.5471638,65.87778926,9.745997048
514,Leaf,69.69423969,13.11732836,114.6918975,27.17389081,67.22273596,11.98057899
515,Leaf,93.68021814,21.94444211,160.0728339,42.28108397,45.49587074,5.852835594
516,Leaf,95.31324178,21.14302156,134.8320587,35.59892659,58.33262354,11.76373837
518,Leaf,68.9462101,21.28234449,110.2517776,32.11535323,53.08060511,9.478585349
570,Leaf,72.6789235,20.0071655,80.15838594,16.64813911,45.05163085,10.87675407
571,Leaf,68.83985659,17.73718763,72.28291305,11.17382923,45.34401745,9.931334318
572,Leaf,68.24012286,15.41430218,85.19302632,19.6382374,55.12552747,14.377741
573,Leaf,62.98071289,16.20739646,96.15974313,29.12380227,42.67049687,11.85010055
574,Leaf,77.40752713,20.31400812,119.3483964,31.13919548,74.8662666,17.54256589
658,Leaf,76.33477896,22.85947124,107.5938247,24.94268226,61.29954657,18.08550077
659,Leaf,93.20629875,20.84935303,107.0015587,27.21686396,52.8038181,10.08680569
661,Leaf,102.7000481,29.12148051,,,,
676,Leaf,111.2278233,23.42040976,165.9659315,43.64584233,60.717765,9.026450475
688,Leaf,90.76876713,24.99980939,135.9451656,40.97465854,56.53627865,13.84770719
689,Leaf,89.80621873,23.87342069,100.6795856,20.52496672,72.33017495,16.78291857
690,Leaf,93.82022883,26.4656946,143.3894331,38.42421619,54.21122861,10.00952513
691,Leaf,98.80684689,34.04862979,102.8109689,19.83879081,41.42050346,8.064133222
692,Leaf,72.59190722,19.6900155,108.7300291,31.24885504,69.21420551,17.61925936
693,Leaf,77.56339465,23.06565437,109.3842301,33.08951394,36.21684661,7.113818402
694,Leaf,97.06808146,27.83213873,65.26439782,11.99209838,72.09962285,16.1584266
695,,,,96.77928809,25.03948404,47.50163211,14.5334071
696,Leaf,78.75020101,21.75979842,85.0339524,29.35304788,54.76486478,13.76762539
697,Leaf,101.2165551,27.21092595,95.28324062,28.05036805,47.56268763,12.75767177
698,Leaf,79.44293252,20.43594638,88.96798255,15.61993458,69.41319423,24.81794968
699,Leaf,85.68223866,22.90451145,94.98431155,17.94080387,71.29077214,18.53619149
700,Leaf,81.03982262,21.07399081,92.95375089,20.8224122,42.93995862,9.546902883
701,Leaf,77.41304438,18.24748515,101.258871,27.63198261,39.40033772,9.417670697
702,Leaf,63.53550188,18.16913751,89.95957976,24.26810596,49.81423261,11.94499796
703,Leaf,99.75868332,26.25997141,127.6186304,38.85060867,83.48271104,23.77240517
704,Leaf,92.96381946,22.90016776,132.3771798,39.75791209,56.48778556,14.11241956
705,Leaf,90.15844222,23.70440187,117.1006389,35.44420676,43.10631422,12.1537423
706,Leaf,72.23042667,22.18752925,104.1152037,27.78157072,46.43832425,11.75844411
707,Leaf,78.26591008,20.87092893,,,56.63748733,14.67151537
708,Leaf,89.27717158,26.92524125,101.5467283,31.25793017,38.68998326,9.211269362
709,Leaf,95.31990308,19.05068901,119.2924522,31.75170162,,
710,Leaf,64.24269087,12.56100442,,,60.27143163,17.1372534
712,Leaf,72.93336209,19.84291888,109.7777769,31.04288028,42.00010402,9.5883756
713,Leaf,66.30877295,15.6335714,151.3957482,39.44647728,94.82826575,22.61897161
714,Leaf,81.08380706,15.37687302,158.6936264,45.48058572,51.04879337,12.69979643
715,Leaf,105.1850966,24.19565986,161.3402563,40.09006531,53.94877327,12.05605158
716,Leaf,93.00973033,28.34804302,139.5595151,36.58491041,,
717,Leaf,86.64745158,22.19088124,125.5881585,36.31393388,,
718,Leaf,80.60736977,20.25113419,72.50754346,10.06192788,38.25601057,8.727618316
719,Leaf,75.0238256,19.64327846,69.84041232,15.60988249,52.41624796,12.76924245
720,Leaf,69.16725962,16.8831411,110.4943766,26.66765787,49.71566849,10.89659431
723,Leaf,79.89384307,14.78930684,154.414756,42.0964832,48.39069657,8.57135573
724,Leaf,92.60018038,13.68536364,,,101.2323717,20.82990818
725,Leaf,102.9421753,29.7821923,142.3953875,42.10961254,66.30130118,10.59933948
726,Leaf,110.6181028,25.71554426,129.0721456,35.94995693,54.47261073,9.716120411
727,Leaf,83.9609259,11.63277155,131.1498974,38.24809259,59.77667037,12.00280344
728,Leaf,91.96567679,26.05041432,96.37849597,27.82173113,62.90809983,14.03968387
729,Leaf,60.05487157,19.70813064,100.1278134,26.55192202,61.11828987,14.98927933
730,Leaf,87.30052989,16.03426786,61.8882285,10.77818777,60.69817042,9.93540207
731,Leaf,85.3347463,16.82390662,113.0325484,26.72104725,,
732,Leaf,83.74609999,22.00021107,151.0914317,39.29870644,41.71004977,7.792313142
733,Leaf,86.78107225,17.95329833,,,40.46388889,6.345670109
734,Leaf,82.91771095,18.37191102,66.58601791,16.19497628,54.71491437,14.35630682
735,Leaf,82.92053525,17.55583962,120.9414677,34.20229372,65.0904808,16.18765754
736,Leaf,72.3153641,12.91296526,,,,
737,Leaf,102.0123446,32.25544044,102.5968325,25.73488159,25.64809229,2.94639961
738,Leaf,101.8743637,19.51879345,129.2934943,33.30084341,57.77893144,10.13775235
739,Leaf,89.86706645,31.50422005,138.7087429,37.0459084,70.77038944,16.66717552
740,Leaf,95.9634801,19.01272248,112.402588,28.39586399,67.82611837,14.70806634
741,Leaf,98.95797493,23.26467057,105.2319448,22.63544336,47.98755135,11.84199162
742,Leaf,105.4563443,28.82406021,145.4823339,46.20227778,33.53472392,6.352339065
743,Leaf,89.61208015,22.5156734,134.4003279,29.48816247,24.50074589,4.60054893
744,Leaf,92.94996861,23.93542855,99.52533941,26.1547856,42.40839234,10.66757875
745,Leaf,97.96518684,26.45413358,78.92044461,21.17042756,42.97162522,10.78272675
746,Leaf,102.4460378,19.7016535,161.800302,39.78581713,71.02108067,18.87877683
747,Leaf,69.81881264,20.30020418,99.19738651,21.90020385,58.09773007,13.99487329
748,Leaf,72.89064083,19.84192411,97.56142318,22.79833827,55.93207301,12.97170135
749,Leaf,95.75621689,24.91090016,112.2808164,33.57305334,44.19687248,11.07133994
750,Leaf,63.74107293,14.34461148,97.54638112,25.85402296,46.15485466,11.94874091
751,Leaf,96.99809812,26.44184306,92.45160903,26.00096335,36.59665453,8.95359874
752,Leaf,83.61288444,24.66271801,127.9265721,38.58015953,33.29905114,8.026439836
753,,,,142.9570045,41.6328866,54.41907141,12.10284613
754,Leaf,91.2584986,23.98678719,112.8551021,30.35787356,54.3560586,12.34889389
755,Leaf,82.21071692,20.22433158,120.320225,31.1469303,52.11539853,11.59921092
756,Leaf,85.27586659,21.68357224,127.0268552,30.13119618,49.21362117,10.92509736
757,Leaf,88.10842347,20.3845863,154.3153245,36.8955785,57.86683631,15.14667919
758,Leaf,97.7399891,26.34912968,146.441846,34.72031703,52.46342073,11.03030319
759,Leaf,82.74934051,21.88645639,54.18405722,6.692667286,36.38238999,8.502032081
760,Leaf,80.15185449,22.58043385,,,36.53451262,8.477102713
761,Leaf,83.55837208,21.3637555,91.25471555,26.92457497,64.93016638,16.91879097
762,Leaf,92.59267698,20.71752929,178.4223756,57.64578288,48.47547614,10.99599189
763,Leaf,83.52328729,24.63701203,113.5336629,33.7473459,63.10538515,16.73698012
765,Leaf,90.97409372,19.40317527,176.0094616,59.30076562,56.93750821,13.9175274
766,Leaf,101.2224396,24.32685245,161.7033722,49.00669184,59.21724859,11.06475847
767,Leaf,81.80650556,17.04437631,123.6640749,34.02431241,48.38465132,10.03968761
768,Leaf,105.1410908,25.71144859,195.6484097,60.7536413,67.70985144,17.07433326
769,Leaf,81.1254439,18.50954746,139.0315442,41.85208617,72.97241931,17.08024762
770,Leaf,79.22405108,21.27889406,108.2127338,28.26309881,50.84862548,11.64470173
771,Leaf,88.93359502,19.93460978,143.1908834,31.79387737,64.39432549,13.16184552
772,Leaf,88.95260469,27.07821085,134.5277304,37.30679313,53.33868299,13.36310599
773,Leaf,84.22133221,29.74501581,106.735997,30.19436583,59.05049511,14.77879375
774,Leaf,68.93634442,14.46999649,,,44.08248802,10.47175804
775,Leaf,75.28482557,19.69428431,87.97569875,22.79699906,71.95982715,18.45526766
776,Leaf,102.5936439,21.09443161,145.8115521,35.48525655,61.74893266,13.04702276
777,Leaf,79.29956381,22.28684299,98.9051743,23.27746656,35.25593822,7.769229626
778,Leaf,82.48999383,21.44664447,110.7918635,28.7136645,49.54648124,10.47409801
779,Leaf,70.11213714,18.45459135,132.4173638,34.01169478,59.23073245,13.72151247
780,Leaf,81.50581051,19.60924143,142.7458392,33.20629315,64.26347637,11.75362087
781,Leaf,93.67768933,19.70231758,181.4111349,47.76927033,67.68850018,15.31014982
782,Leaf,84.27069891,22.03373593,95.36142113,24.11795836,57.54163438,13.91229676
783,Leaf,73.73090914,19.44523346,,,,
784,Leaf,82.07161713,25.02572397,130.0608907,37.73672451,45.04010126,7.888558289
785,Leaf,83.92248318,20.23755389,104.2901164,32.49767746,78.90749579,25.4617149
786,Leaf,81.87196911,17.56754498,131.1090698,33.0485093,45.59153741,10.2343982
787,Leaf,81.33692144,16.02676439,143.0268383,36.8962908,53.08930564,14.1406873
788,Leaf,90.90431835,24.1767329,157.7216877,43.9755061,88.4056341,23.65418807
789,Leaf,79.60454336,20.5919813,127.4612263,40.5186153,90.84390759,24.92511773
790,Leaf,96.58128519,26.41164344,95.52444105,30.8140916,37.39441626,9.648685349
791,Leaf,82.19172681,23.85651932,97.12351326,26.31070447,40.07337811,12.34881346
792,Leaf,80.38541738,18.49170509,104.1549432,22.88803762,47.67653767,10.9570881
798,,,,62.34586557,18.47202565,,
,Leaf,80.36092591,17.59228465,,,,
806,,,,164.0350645,59.13641802,57.83542125,13.69192037
